scientificName,imageCount,hasImages,gbifTaxonKeyOrReason
Vellozia canelinha Mello-Silva,20,True,2863690
Guettarda angelica Mart. ex Müll.Arg.,20,True,2894768
"Echinanthera cephalomaculata Di-Bernardo, 1994",20,True,2458775
Dioscorea galiiflora R.Knuth,20,True,2755093
"Symplegma rubra Monniot, 1972",20,True,2332248
Glechon thymoides Spreng.,20,True,3891702
"Cantorchilus leucotis (Lafresnaye, 1845)",20,True,7341038
Cladonia confusa R. Sant.,20,True,10986021
Brachypodium distachyon (L.) P.Beauv.,20,True,5290143
Anemia sertaneja Mickel & Labiak,1,True,8843464
Ornithopus sativus Brot.,20,True,5358266
"Lipaugus ater (Ferrusac, 1829)",20,True,10678315
Mendoncia pilosa Mart.,20,True,7730685
"Dasyprocta prymnolopha Wagler, 1831",20,True,2437580
"Polybia (Myrapetra) erythrothorax Richards, 1978",20,True,5032825
Oxypetalum capitatum Mart.,20,True,7486690
Tradescantia mundula Kunth,20,True,2765158
"Plagiometriona sahlbergi (Boheman, 1855)",1,True,5876247
"Plagiometriona punctatissima (Boheman, 1855)",0,False,6270872
Vernonanthura tweediana (Baker) H.Rob.,20,True,7913746
"Letis specularis Hübner, 1821",20,True,1788372
"Haliclona (Reniera) implexiformis (Hechtel, 1965)",20,True,5182121
Hellenia speciosa (J.Koenig) S.R.Dutta,20,True,7584507
"Cygnus atratus (Latham, 1790)",20,True,2498344
Amaioua intermedia Mart. ex Schult. & Schult.f.,20,True,2901131
Dichanthelium sciurotoides (Zuloaga & Morrone) Davidse,20,True,4133624
"Saltator grossus (Linnaeus, 1766)",20,True,5230955
Blechnum polypodioides Raddi,20,True,2651528
Guapira darwinii (Hemsl.) E.C.O.Chagas & Costa-Lima,20,True,10879415
"Pteroglossus aracari (Linnaeus, 1758)",20,True,2478828
"Necrobia rufipes (DEGEER, 1775)",20,True,11342266
"Clastoptera cimicoides Germar, 1839",20,True,2017382
"Hapigia cresus (Cramer, 1777)",20,True,1822704
Miconia urophylla DC.,20,True,3863417
Entada polyphylla Benth.,20,True,2976278
"Chrysodeixis includens (Walker, 1858)",20,True,1785168
Ipomoea imperati (Vahl) Griseb.,20,True,2928596
Austroeupatorium rosmarinaceum (Cabrera & Vittet) R.M.King & H.Rob.,14,True,3142447
"Deroptyus accipitrinus (Linnaeus, 1758)",20,True,2479535
Cybianthus brasiliensis (Mez) G.Agostini,20,True,3718852
"Micrurus decoratus (Jan, 1858)",20,True,5226994
Henriettea stellaris O.Berg ex Triana,20,True,3860536
"Riodina lysippus (Linnaeus, 1758)",20,True,1935343
Urbanodendron verrucosum (Nees) Mez,20,True,4181404
"Bothrops atrox (Linnaeus, 1758)",20,True,5220775
"Anthus chii Vieillot, 1818",20,True,10884972
Monteverdia erythroxylon (Reissek) Biral,20,True,9807614
"Uca (Uca) maracoani (Latreille, 1802)",20,True,2221550
"Pionopsitta pileata (Scopoli, 1769)",20,True,2479983
Rottboellia cochinchinensis (Lour.) Clayton,20,True,2704075
Richterago radiata (Vell.) Roque,20,True,3146167
Pleiochiton roseum Cogn.,20,True,3870705
Stevia cinerascens Sch.Bip. ex Baker,20,True,3125679
Adiantum petiolatum Desv.,20,True,2651824
"Littoraria flava (King, 1832)",20,True,5856809
Tillandsia paraibensis R.A. Pontes,8,True,8119242
"Scinax hayii (Barbour, 1909)",20,True,5217920
"Remartinia luteipennis (Burmeister, 1839)",20,True,1424931
"Steatoda diamantina (Levi, 1962)",20,True,2157200
Galeandra paraguayensis Cogn.,20,True,2821013
"Caeruleuptychia aegrota (Butler, 1867)",20,True,1892529
"Pachymerus nucleorum Fabricius, 1792",20,True,3260350
"Miathyria simplex (Rambur, 1842)",20,True,1427686
Capsicum baccatum L.,20,True,2932938
"Leucopternis kuhli Bonaparte, 1850",20,True,2480400
"Sylvicola annuliferus (Edwards, 1923)",3,True,5076352
Pabstiella colorata (Pabst) Luer & Toscano,4,True,7636750
Perama hirsuta Aubl.,20,True,2907355
"Psocathropos lachlani Ribaga, 1899",20,True,1031735
Chaetogastra macranthera (Miq.) F.S.Mey. & R.Goldenb.,20,True,7273204
"Maeota dichrura Simon, 1901",20,True,2175979
"Odontophorus gujanensis (Gmelin, 1789)",20,True,5228058
Euphorbia estevesii N.Zimm. & P.J.Braun,2,True,3064468
Luetzelburgia bahiensis Yakovlev,20,True,2947751
"Brachymesia furcata (Hagen, 1861)",20,True,1427976
Neoregelia farinosa (Ule) L.B.Sm.,20,True,2694140
Pabstiella matinhensis (Hoehne) Luer,20,True,2787345
"Lebia (Chelonodema) dorsalis Dejean, 1826",20,True,8288017
"Coprinopsis stercorea (Fr.) Redhead, Vilgalys & Moncalvo",20,True,5242717
Elaphoglossum plumosum (Fée) T.Moore,20,True,7288673
"Alpheus bouvieri Milne-Edwards, 1878",20,True,2226175
"Helicops angulatus (Linnaeus, 1758)",20,True,2457699
Guatteria maypurensis Kunth,20,True,3155737
Sesbania exasperata Kunth,20,True,2970700
Pouteria venosa (Mart.) Baehni,20,True,2884608
Hippeastrum stylosum Herb.,20,True,2854344
Morganella sulcatostoma C.R. Alves & Cortez,0,False,8327092
"Caelopygus melanocephalus Kollar, 1839",20,True,6904270
Pseuderanthemum carruthersii (Seem.) Guillaumin,20,True,3173133
Leandra alpestris (Gardner) Cogn.,14,True,3866875
"Hesperocharis erota (Lucas, 1852)",20,True,1920269
"Neivacoris microcephalus Lent & Wygodzinsky, 1947",1,True,9740609
"Juditha molpe (Hübner, 1808)",20,True,1935296
Peperomia tetraphylla (G.Forst.) Hook. & Arn.,20,True,3086448
Callicarpa nudiflora Hook. & Arn.,20,True,5609427
Paspalum regnellii Mez,20,True,4154741
Galeandra devoniana M.R.Schomb. ex Lindl.,20,True,2820990
"Adelpha plesaure Hübner, 1823",20,True,9274887
"Hirundinea ferruginea (Gmelin, 1788)",20,True,2483242
Fimbristylis aestivalis (Retz.) Vahl,20,True,2708266
Peltogyne angustiflora Ducke,20,True,2952701
Lepidaploa aurea (Mart. ex DC.) H.Rob.,20,True,3099867
"Hyperaspis conclusa Weise, 1906",0,False,sem_match_taxonomico
"Ramphocaenus melanurus Vieillot, 1819",20,True,9393917
Stizophyllum inaequilaterum Bureau & K.Schum.,20,True,4091727
Eugenia neosilvestris Sobral,20,True,5417770
Eustachys petraea (Sw.) Desv.,20,True,5289825
Morus nigra L.,20,True,5361888
Mikania ternata (Vell.) B.L.Rob.,20,True,5398714
Azolla microphylla Kaulf.,20,True,4196478
Passovia pyrifolia (Kunth) Tiegh.,20,True,7687446
Nidularium longiflorum Ule,20,True,2697686
Glandularia selloi (Spreng.) Tronc.,20,True,5667434
"Pionites melanocephalus (Linnaeus, 1758)",20,True,2479437
Justicia polita (Nees) Profice,20,True,3771515
Oeceoclades maculata (Lindl.) Lindl.,20,True,2840119
Hemerocallis fulva (L.) L.,20,True,2781074
Stigmatopteris caudata (Raddi) C.Chr.,20,True,4042469
Senna undulata (Benth.) H.S.Irwin & Barneby,20,True,2957590
Viola × wittrockiana Gams,20,True,5331389
Spigelia tetraptera Taub. ex L.B.Sm.,20,True,8237270
Mimosa rufescens Benth.,20,True,2969630
"Petasodes dominicana (Burmeister, 1838)",20,True,5150501
"Eciton burchellii (Westwood, 1842)",20,True,1319394
Stropharia coronilla (Bull.) Quél.,20,True,9128521
Passiflora miniata Vanderpl.,20,True,3587076
"Bubulcus ibis (Linnaeus, 1758)",20,True,2480830
"Sysinas pallidipes Stål, 1860",8,True,8228659
Myrcia deflexa (Poir.) DC.,20,True,3173921
"Astropecten brasiliensis Müller & Troschel, 1842",20,True,5186529
Luehea rufescens A.St.-Hil.,20,True,7607165
Paepalanthus planifolius (Bong.) Körn.,20,True,5287005
Calea marginata S.F.Blake,20,True,3147454
Annona pickelii (Diels) H.Rainer,20,True,5541606
Serpocaulon levigatum (Cav.) A.R.Sm.,20,True,4023945
