ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
DZBS,species,"Columbina talpacoti (Temminck, 1810)","(Temminck, 1810)",accepted,,"Columbina Spix, 1825","Columbidae Leach, 1820","Columbiformes Latham, 1790","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H295,,,TAXON,
FNPR,species,"Brachymetra albinervis Freitas, Costa, Lopes, Lima, dos Santos, de Azevêdo & Franco, 2025","Freitas, Costa, Lopes, Lima, dos Santos, de Azevêdo & Franco, 2025",accepted,,"Brachymetra Mayr, 1865","Gerridae Leach, 1815","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",NK4,,,TAXON,
3SQ,species,Lepidaploa canescens (Kunth) H.Rob.,(Kunth) H.Rob.,accepted,,Lepidaploa (Cass.) Cass.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DX92,,,TAXON,
N2D,species,Hirtella bahiensis Prance,Prance,accepted,,Hirtella L.,Chrysobalanaceae R.Br.,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FHLT,,,TAXON,
6CF5,species,Guatteria tomentosa Rusby,Rusby,accepted,,Guatteria Ruiz & Pav.,Annonaceae Juss.,Magnoliales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",5ML4,,,TAXON,
5SFZ,species,Justicia brasiliana Roth,Roth,accepted,,Justicia L.,Acanthaceae Juss.,Lamiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9TPZ,,,TAXON,
38XC,species,"Issoca rezendei (Schirch, 1929)","(Schirch, 1929)",accepted,,"Issoca Froehlich, 1955","Geoplanidae Stimpson, 1857","Tricladida Lang, 1881","Rhabditophora Ehlers, 1985","Platyhelminthes Gegenbaur, 1859",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DK2N,,,TAXON,
6LQ2,species,"Hemitriccus flammulatus Berlepsch, 1901","Berlepsch, 1901",accepted,,"Hemitriccus Cabanis & Heine, 1859","Rhynchocyclidae Berlepsch, 1907","Passeriformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",B4DV,,,TAXON,
CXV3,species,Kielmeyera coriacea Mart. & Zucc.,Mart. & Zucc.,accepted,,Kielmeyera Mart. & Zucc.,Calophyllaceae J.Agardh,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H4HL,,,TAXON,
PHJ,species,Erythroxylum ovalifolium Peyr.,Peyr.,accepted,,Erythroxylum P.Browne,Erythroxylaceae Kunth,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",546D,,,TAXON,
393D,species,"Stenocerus fulvitarsis (Germar, 1824)","(Germar, 1824)",accepted,,"Stenocerus Schönherr, 1826","Anthribidae Billberg, 1820","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HCKY,,,TAXON,
D4H9,species,Eryngium elegans Cham. & Schltdl.,Cham. & Schltdl.,accepted,,Eryngium L.,Apiaceae Lindl.,Apiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",VQ,,,TAXON,
B5MR,species,"Hyperchiria incisa Walker, 1855","Walker, 1855",accepted,,"Hyperchiria Hübner, [1819]","Saturniidae Boisduval, 1837","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DZCW,,,TAXON,
FFXP,species,Marcetia serratifolia R.B.Pacifico & Almeda,R.B.Pacifico & Almeda,accepted,,Marcetia DC.,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",92WC,,,TAXON,
6S33,species,"Myiobius atricaudus Lawrence, 1863","Lawrence, 1863",accepted,,"Myiobius Gray, 1839","Onychorhynchidae Tello, Moyle, Marchese & Cracraft, 2009","Passeriformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",548C,,,TAXON,
7M2,species,Merostachys burmanii Send.,Send.,accepted,,Merostachys Spreng.,Poaceae Barnhart,Poales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6D89,,,TAXON,
J8GD,species,Unonopsis sanctae-teresae Maas & Westra,Maas & Westra,accepted,,Unonopsis R.E.Fr.,Annonaceae Juss.,Magnoliales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4LZV,,,TAXON,
8552,species,Bunchosia glandulifera (Jacq.) Kunth,(Jacq.) Kunth,accepted,,Bunchosia Rich. ex Juss.,Malpighiaceae Juss.,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",GBNR,,,TAXON,
BMNZ,species,"Naupactus dissimilis Hustache, 1947","Hustache, 1947",accepted,,"Naupactus Dejean, 1821","Curculionidae Latreille, 1802","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HZPF,,,TAXON,
FGP5,species,Pecluma pectinata (L.) M.G.Price,(L.) M.G.Price,accepted,,Pecluma M.G.Price,Polypodiaceae J.Presl,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",D3R,,,TAXON,
3SVP,species,Danaea leprieurii Kunze,Kunze,accepted,,Danaea Sm.,Marattiaceae Kaulf.,Marattiales,Polypodiopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9H3Y,,,TAXON,
57XS,species,"Zelus leucogrammus (Perty, 1833)","(Perty, 1833)",accepted,,"Zelus Fabricius, 1803","Reduviidae Latreille, 1807","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",CFGC,,,TAXON,
87F5,species,Ulva fasciata Delile,Delile,accepted,,Ulva L.,,,Ulvophyceae Mattox & K.D.Stewart,Chlorophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",6B2F,,,TAXON,
55HB,species,"Hypocnemis hypoxantha Sclater, 1869","Sclater, 1869",accepted,,"Hypocnemis Cabanis, 1847","Thamnophilidae Swainson, 1824","Passeriformes Linnaeus, 1758","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",F5NN,,,TAXON,
